id,factor,category,subcategory,prime
751,Foo,SDOH,environmental,NULL
752,Var,SDOH,other,NULL
650,"If i'm going down stairs or move suddenly its like they are escalator stairs. if i move head too quick its like, hard to explain.erm when you stand of a platform and see a train whoosh straight through my vision is like that when in busy area or sudden head movement.hope that makes sense.",medical,vision,NULL
651,I have trouble with screens i put up blue light reduction and i wear theraspeca for florescent lighted areas. i work i supermarket with these and have been signed off sick since accident as the lights the everything overstimulates nd i crash,medical,vision,NULL
652,Air in storm before it kicks off,SDOH,environmental,NULL
653,Emotions overload be it sad or happy. not listening to the signs and tk rest,SDOH,other,NULL
654,Overdoing the symplist of things. underestimate how much energy the brain uses.,SDOH,wellness,NULL
655,Motion sickness at its worst,SDOH,travel,NULL
656,Painting,SDOH,wellness,NULL
657,Suicidal ideation,medical,emotional,NULL
658,Highly empathetic,medical,emotional,NULL
659,Super fast processing,medical,cognitive,NULL
660,Extreme startle reflex,medical,cognitive,NULL
661,Siezures,medical,physical,NULL
662,Incontinence,medical,physical,NULL
663,Stutters,medical,speech,NULL
664,Unexpected noise,SDOH,environmental,NULL
665,"Starts behind left ear, shoots past back of eyes and out the very center of the top of head",medical,vision,NULL
666,Seeing a human/non-human animal suddenly appear in my field of vision,SDOH,other,NULL
667,Gait problems,medical,sleep,NULL
668,Forget right words to say,medical,sleep,NULL
669,Short term memory,medical,cognitive,NULL
670,Forget things unless i say them immediately,medical,speech,NULL
671,Can’t do math or have to say abc’s to remember them,medical,speech,NULL
672,Temples,medical,vision,NULL
673,Temple region,medical,vision,NULL
674,Not used any others,SDOH,travel,NULL
675,"Hydration, communication",SDOH,wellness,NULL
676,Right side,medical,physical,NULL
677,"Multiple sounds, rude or disrespectful behavior",SDOH,other,NULL
678,Square,medical,emotional,NULL
679,A,medical,physical,NULL
680,Tired,SDOH,wellness,NULL
681,I trip,medical,physical,NULL
682,Loud tv,SDOH,environmental,NULL
683,Little unexpected noises as well,SDOH,environmental,NULL
684,I dont like travelling sence accident,SDOH,travel,NULL
685,"I dont like groups of people, loud noises im not expecting",SDOH,other,NULL
686,Long covid from 11/2020 is proving decline,SDOH,wellness,NULL
687,Denial,medical,cognitive,NULL
688,Half-blind in left eye,medical,vision,NULL
689,Seasonal allergies,SDOH,other,NULL
690,Family tension,SDOH,other,NULL
691,Family tensions.,SDOH,other,NULL
692,"I’m in eye therapy so trying to fix this, double vision for a while",medical,vision,NULL
693,I can’t handle the cold temperatures now,medical,physical,NULL
694,The fact i have to rely on travel,SDOH,travel,NULL
695,Thinking too hard,SDOH,environmental,NULL
696,Frustration,SDOH,wellness,NULL
697,Covid getting worse,SDOH,wellness,NULL
698,Too much environmental stimuli,SDOH,environmental,NULL
699,Family fighting,SDOH,wellness,NULL
700,Background noise,SDOH,environmental,NULL
701,Na,medical,sleep,NULL
702,"I have so many deadlines with work i need to get some new initiative started and i'm struggling",SDOH,wellness,NULL
703,Repeating words,medical,speech,NULL
704,Spelling mistakes,medical,speech,NULL
705,Trouble with numbers,medical,speech,NULL
706,"I dont like large groups. i can hear alot of conversations and can't focus",SDOH,wellness,NULL
707,Same a wellness trigger,SDOH,travel,NULL
708,"I get to much going on and i get angry because i can't focus",SDOH,screen time,NULL
709,I dont like large groups,SDOH,travel,NULL
710,Dizziness,medical,cognitive,NULL
711,Other,SDOH,travel,NULL
712,Church,SDOH,environmental,NULL
713,Need more sleep,SDOH,wellness,NULL
714,Too many people,SDOH,environmental,NULL
715,Noises places,SDOH,other,NULL
716,Woke up with a bad headache,SDOH,wellness,NULL
717,Reading on my phone in bed,SDOH,screen time,NULL
718,Too much to do,SDOH,wellness,NULL
719,No exercise,SDOH,wellness,NULL
720,Altitude,SDOH,environmental,NULL
721,School work,SDOH,screen time,NULL
722,Movie afternoon with betsy,SDOH,screen time,NULL
723,Massage,SDOH,wellness,NULL
724,Beautiful day,SDOH,environmental,NULL
725,"Almost falling alot, numbness, severe headaches",medical,cognitive,NULL
726,Mata patch,SDOH,wellness,NULL
727,Upper constant neural processing,SDOH,wellness,NULL
728,Flooding/overwhelmed,medical,emotional,NULL
729,Take sleeping meds due to lack of sleep with tbi,medical,sleep,NULL
730,Band around my head,medical,vision,NULL
731,Top of head,medical,vision,NULL
732,Internal tremor,medical,sleep,NULL
733,Certain lights,SDOH,environmental,NULL
734,Food,SDOH,wellness,NULL
735,Background motion,SDOH,environmental,NULL
736,Lack of rest,SDOH,other,NULL
737,Do nothing day,SDOH,wellness,NULL
738,Amnesia,medical,cognitive,NULL
739,Changes in plans,SDOH,other,NULL
740,Right eyelid twitching,medical,vision,NULL
741,"Missing school work,",SDOH,wellness,NULL
742,Front of face,medical,vision,NULL
743,Distonia of the right foot. also the right side of my face doesn’t move.,medical,physical,NULL
744,I wasn’t sure that that was an actual condition! could you guys tell me more about the cold hands and feet thing please?,medical,sleep,NULL
745,I’ve gotten fairly round since my tbi - stomach fat? and a little more under the chin,medical,emotional,NULL
746,NULL,medical,emotional,NULL
747,Bar,medical,sleep,NULL
748,1,medical,emotional,NULL
749,!,SDOH,other,NULL
753,Meetings net,SDOH,screen time,NULL
754,Fatigued,SDOH,wellness,NULL
755,Nada,SDOH,other,NULL
758,Anxiety galore,SDOH,wellness,NULL
759,Visually busy places,SDOH,environmental,NULL
760,Base of scull expanding toward towars the jawbone,medical,vision,NULL
761,Researching online,SDOH,screen time,NULL
762,"Music, flouresnet lights, neon light buzzing, overpowerful rubbing alcohol smell",SDOH,other,NULL
763,Added hormonal changes,SDOH,wellness,NULL
764,Stroke,medical,cognitive,NULL
765,Family contacts,SDOH,other,NULL
766,Large crowd prior evening,SDOH,environmental,NULL
767,Broken leg brace,SDOH,wellness,NULL
768,My birthday.  sat all day,SDOH,wellness,NULL
769,Mom,SDOH,environmental,NULL
770,Annual physical,SDOH,environmental,NULL
61,Words jump,medical,vision,true
771,Low self esteem,medical,emotional,NULL
772,"Can't stay asleep, even when taking medication",medical,sleep,NULL
773,Neck and back pain,medical,physical,NULL
774,Blurred vision / lack of periphery vision,medical,physical,NULL
775,Conversations,SDOH,other,NULL
776,Activity that activates adrenaline,SDOH,other,NULL
777,Optic nerve atrophy,medical,vision,NULL
778,Sleep,SDOH,wellness,NULL
779,Knee hyperextending,SDOH,wellness,NULL
780,No brain breaks,SDOH,wellness,NULL
782,Storms,SDOH,environmental,NULL
783,Travel,SDOH,environmental,NULL
784,All,SDOH,travel,NULL
785,Inversion of something,SDOH,environmental,NULL
786,"Covid sick again. allergy, flu, cough, fatigue & brain dysfuntions",SDOH,wellness,NULL
787,Poor weather conditions,SDOH,environmental,NULL
788,Suicidal,medical,emotional,NULL
789,Outbursts,medical,speech,NULL
790,"Have not regained ability to write fiction (i'm a writer/novelist)",medical,cognitive,NULL
791,Red moon,SDOH,environmental,NULL
792,Woke up with neck and head pain,SDOH,wellness,NULL
793,Hail storm,SDOH,environmental,NULL
794,Gagging,medical,physical,NULL
795,Chills,medical,sleep,NULL
796,Standing for a period of time,SDOH,other,NULL
797,Communicating face to face in same position,SDOH,other,NULL
798,Bending over,SDOH,other,NULL
799,Over activity,SDOH,wellness,NULL
800,Movement,SDOH,other,NULL
801,Ibuprofen,SDOH,wellness,NULL
802,Relaxing,SDOH,wellness,NULL
803,Balance and acute migraine and panic attacks and depression,medical,cognitive,NULL
804,Wedding,SDOH,environmental,NULL
805,No/ irregular sleep,SDOH,wellness,NULL
806,Lifting things/ chores,SDOH,wellness,NULL
807,Standing,SDOH,wellness,NULL
808,Activity around me in small spaces,SDOH,environmental,NULL
809,Eating,SDOH,wellness,NULL
810,Smoke/haze,SDOH,environmental,NULL
811,Smoke/haze,SDOH,environmental,NULL
812,Smoke and haze,SDOH,environmental,NULL
813,None yet,SDOH,screen time,NULL
814,Haze/smoke/air,SDOH,environmental,NULL
815,Physical rest,SDOH,wellness,NULL
817,Haze and smoke,SDOH,environmental,NULL
816,Water,SDOH,wellness,NULL
818,Low bp,SDOH,wellness,NULL
819,Problem solving,SDOH,environmental,NULL
820,Making decisions,SDOH,environmental,NULL
821,Chatter/activity,SDOH,environmental,NULL
822,Asthma triggers leads to fatigue,SDOH,other,NULL
823,No break,SDOH,wellness,NULL
824,Husband,SDOH,environmental,NULL
825,Little to none,SDOH,screen time,NULL
826,Difficult to follow simple directions,medical,speech,NULL
827,Confused easily,medical,speech,NULL
828,Visual field cut,medical,vision,NULL
829,Trouble controlling my hands,medical,cognitive,NULL
830,Executive function issues,medical,cognitive,NULL
831,NULL,medical,physical,NULL
832,Overwhelmed when hurried,SDOH,other,NULL
833,Upper body strain/ movement in asana,SDOH,travel,NULL
834,Motor home,SDOH,travel,NULL
835,Scrolling on devices or things whizzing past eyes,SDOH,screen time,NULL
836,Increased heart rate,SDOH,wellness,NULL
837,Plants and scents that i am allergic to,SDOH,environmental,NULL
838,Disagreements very tentative,SDOH,environmental,NULL
839,Bending lifting,SDOH,wellness,NULL
840,Pool,SDOH,travel,NULL
841,Cold water,SDOH,environmental,NULL
842,N/,SDOH,screen time,NULL
843,Social media posts,SDOH,screen time,NULL
844,Really tired,SDOH,wellness,NULL
845,Getting dressed/arm movement,SDOH,travel,NULL
846,Office hallway,SDOH,travel,NULL
847,Caffeine is in the herbal tea,SDOH,wellness,NULL
848,Air conditioning,SDOH,environmental,NULL
849,More than 4-5 hrs without a break,SDOH,wellness,NULL
850,Wc/ caseworker,SDOH,wellness,NULL
851,"Beeps, crowds, multiple people talking at once",SDOH,other,NULL
852,Heavy traffic windshield wipers,SDOH,travel,NULL
853,Fast moving shows,SDOH,screen time,NULL
854,Standing too long,SDOH,wellness,NULL
855,Family matters,SDOH,wellness,NULL
856,Distractions,SDOH,wellness,NULL
857,Doing things for more than 4 hrs,SDOH,wellness,NULL
858,Cooking dinner,SDOH,wellness,NULL
859,Over cast days glare,SDOH,environmental,NULL
861,Field of vision moves when i do,medical,vision,NULL
862,Nutrition,SDOH,other,NULL
863,By foot,SDOH,travel,NULL
864,"Heat/light/sound sensitivity.  irritability and anger/emotion control.  daily headaches, fatigue.  motion sickness, insomnia etc",medical,cognitive,NULL
865,"Over stimulating environments.   waiting rooms, office environments etc.",SDOH,other,NULL
866,Slept well,SDOH,wellness,NULL
867,More than 10-15 min chores,SDOH,wellness,NULL
868,Headlights/night driving,SDOH,environmental,NULL
869,Kindle,SDOH,screen time,NULL
870,Lack of exercise due to injury,SDOH,wellness,NULL
871,Sleeping in right side?,SDOH,wellness,NULL
873,"Unsure if weather triggers symptoms.  until recently, weather has been pretty constant",SDOH,environmental,NULL
874,Multiple stimuli to process,SDOH,environmental,NULL
875,Over using brain,SDOH,other,NULL
876,Concentration,SDOH,other,NULL
877,Good news,SDOH,wellness,NULL
878,Fluorescent lights,SDOH,environmental,NULL
879,Relaxation,SDOH,wellness,NULL
880,"Crying at extreme emotions like beauty, happiness",medical,emotional,NULL
881,Breathing issues,medical,physical,NULL
882,Car headlights,SDOH,environmental,NULL
883,Hunter orange,SDOH,environmental,NULL
884,Brain buzzing,medical,cognitive,NULL
885,Feeling of fullness in ears,medical,cognitive,NULL
886,Dealing with people and their lack of understanding of tbi,SDOH,wellness,NULL
887,Football games,SDOH,environmental,NULL
888,Crunching of food by another person,SDOH,other,NULL
889,"Cte-chronic, traumatic encephalopathy",medical,emotional,NULL
890,Back where i had subdural hematoma,medical,vision,NULL
891,"Vision problems, hearing on right, right side,wear braces, use cane.",medical,cognitive,NULL
892,"Fire engine sound, fires, gas heat or smell of any heat.",SDOH,other,NULL
893,Neck (cervicogenic),medical,vision,NULL
894,Dealing with people,SDOH,wellness,NULL
895,Planning,SDOH,wellness,NULL
896,Doing christmas cards,SDOH,environmental,NULL
897,Today it looks like rain,SDOH,environmental,NULL
898,Dreary weather,SDOH,environmental,NULL
899,Busy street walking snoop,SDOH,travel,NULL
900,Christmas shopping,SDOH,environmental,NULL
901,Test,medical,cognitive,NULL
902,Got on device too quickly after yoga nidra burning in srptomach,SDOH,screen time,NULL
903,Confusion,medical,cognitive,NULL
904,Cow,medical,cognitive,NULL
905,Abcd,medical,vision,NULL
906,Dog,medical,physical,NULL
907,Cat,medical,emotional,NULL
908,Abc,medical,speech,NULL
909,Bird,medical,sleep,NULL
910,Possible weather?,SDOH,environmental,NULL
911,Dizzyness / vertigo,medical,sleep,NULL
912,Anhedonia,medical,emotional,NULL
913,Icy everything today.,SDOH,environmental,NULL
914,Too many people talking at once,SDOH,other,NULL
915,Over exercise,SDOH,wellness,NULL
916,Snow and sub 0 temps,SDOH,environmental,NULL
917,Nerve ending vibration,medical,physical,NULL
918,Clunking sound in head when walk,medical,physical,NULL
919,Intense dreaming,medical,sleep,NULL
920,Moving laundry from basement to second floor,SDOH,other,NULL
921,Flashing action sequences,SDOH,screen time,NULL
922,"When she can't complete a task for her self",SDOH,other,NULL
923,Snowday,SDOH,environmental,NULL
924,Trouble falling asleep,medical,sleep,NULL
925,Pseudobulbar affect - crying and laughing inappropriately,medical,emotional,NULL
926,Acquired auditory processing disorder,medical,speech,NULL
927,Acquired auditory processing disorder; complex regional pain syndrome type ii; weakness of right upper and lower extremity with orthotics,medical,cognitive,NULL
928,Major neurocognitive disorder due to tbi,medical,cognitive,NULL
929,Too much work issues on my mind,SDOH,wellness,NULL
930,Nc state lost,SDOH,environmental,NULL
931,Ex-family,SDOH,screen time,NULL
932,"Frustration, confusion",medical,emotional,NULL
933,Life,SDOH,other,NULL
934,Worked too many hours,SDOH,wellness,NULL
935,Csf leaking from eyes,medical,physical,NULL
936,All of these are sporadically better or worse,medical,speech,NULL
937,"Temples, top of head",medical,vision,NULL
938,Ringing ears,SDOH,screen time,NULL
939,Packing for a trip,SDOH,environmental,NULL
941,Chemtrails in air this morning,SDOH,environmental,NULL
940,Chemtrails in air this morning,SDOH,environmental,NULL
942,Vestibula,medical,physical,NULL
943,14 hour travel drive to so california,SDOH,travel,NULL
944,Agoraphobia,medical,emotional,NULL
945,"Hearing loss, left ear",medical,physical,NULL
946,"Night sweats, extremities falling asleep",medical,sleep,NULL
947,Cardio issues,medical,physical,NULL
948,Vg sleep,SDOH,wellness,NULL
949,A lot of work demands,SDOH,wellness,NULL
950,"Tiredness, headaches",medical,cognitive,NULL
951,Moving,SDOH,wellness,NULL
952,Altitude a bit,SDOH,environmental,NULL
953,Very poor sleep,SDOH,wellness,NULL
954,Weed,SDOH,wellness,NULL
955,Smells,SDOH,environmental,NULL
956,Headaches,SDOH,wellness,NULL
957,Kids,SDOH,environmental,NULL
958,Can switch eyes being used,medical,vision,NULL
959,Low muscle tone left side,medical,physical,NULL
960,Monotone,medical,physical,NULL
961,"Tone, left side",medical,physical,NULL
962,"Caffeine, fatigue",SDOH,other,NULL
963,Have not even tried higher speed transport,SDOH,travel,NULL
964,.?. possible bad weather,SDOH,environmental,NULL
965,Lights,SDOH,environmental,NULL
966,Affected my light,medical,sleep,NULL
967,Talking to me when i’m focusing on something else,SDOH,other,NULL
968,Lying down to exercise,SDOH,wellness,NULL
969,Speaker**,SDOH,travel,NULL
970,Speaker/ car bluetooth,SDOH,screen time,NULL
971,Family fight,SDOH,wellness,NULL
972,Depression due to symptom increase,SDOH,environmental,NULL
973,Handwriting,SDOH,screen time,NULL
974,Light yoga class but felt great iafterwards?,SDOH,wellness,NULL
975,Did lots of brethwork,SDOH,wellness,NULL
976,Traffic lights,SDOH,environmental,NULL
977,Paperwork,SDOH,screen time,NULL
978,Any time she has to wait,SDOH,other,NULL
979,Don’t get what she wants right when she wants it,SDOH,other,NULL
980,Things don’t go the way she wants,SDOH,other,NULL
981,Different subjects,SDOH,wellness,NULL
982,Lots of fights,medical,emotional,NULL
983,"Family members don't understand",SDOH,other,NULL
984,Mom came home from hospital,SDOH,environmental,NULL
985,Difficulty finding objects and self in space,medical,physical,NULL
986,Huge difficulty with high precision near binocular tasks (binocular microscopes) - similar to supermarket syndrome with central/peripheral issues,medical,vision,NULL
987,"Marked difficulty with simultaneous visual and auditory stimuli, remebering & processing process information, simple math computation",medical,cognitive,NULL
988,"Non-relevant background noise, bright light/glare",SDOH,environmental,NULL
989,Bright light/glare,SDOH,environmental,NULL
990,Sugar/wheat flour,SDOH,wellness,NULL
991,Bad bad headaches,medical,physical,NULL
992,Stress period,SDOH,other,NULL
993,Difficulty Swallowing,medical,speech,true
995,Wear hearing aides,medical,physical,NULL
996,2 years ago received double vision eye surgery,medical,vision,NULL
997,Never enough time in the day,SDOH,other,NULL
998,Always cold,medical,physical,NULL
999,Disrupted sleep due to anxiety,medical,sleep,NULL
1000,Disrupted sleep,medical,sleep,NULL
1001,Attention,medical,cognitive,NULL
1002,Sugar,SDOH,wellness,NULL
1003,Simple starches,SDOH,wellness,NULL
1004,Loudly speaking,SDOH,environmental,NULL
1005,Whatching computer,SDOH,screen time,NULL
1006,Fascia release,SDOH,wellness,NULL
1007,Living in hell and heaven,medical,emotional,NULL
1008,Too much saliva when excited throat get too dry i choke often on air and my saliva,medical,speech,NULL
1009,"Can't sleep or relax",medical,cognitive,NULL
1010,Keep dropping phone,SDOH,screen time,NULL
1011,"Dehydration feeling like i'm on fire",SDOH,other,NULL
1013,Presyncope,medical,physical,NULL
1012,Tachycardia,medical,physical,NULL
1014,Social anxiety,SDOH,other,NULL
1015,Testing factors,SDOH,wellness,NULL
1016,Ring in ears varies in volume and intensity,SDOH,environmental,NULL
1017,Anxiety over living for everyone else,SDOH,environmental,NULL
1018,NULL,medical,vision,NULL
1019,Testing tv,SDOH,screen time,NULL
1020,Testing caffeine,SDOH,wellness,NULL
1021,Testing boat,SDOH,travel,NULL
1022,Zc,medical,cognitive,NULL
1023,Zc,medical,cognitive,NULL
1024,Zxcv,medical,cognitive,NULL
1025,Xcv,medical,cognitive,NULL
1026,NULL,medical,cognitive,NULL
1027,NULL,medical,cognitive,NULL
1028,Bxcbv,medical,cognitive,NULL
1029,Cxv,medical,cognitive,NULL
1030,Xzcc,medical,sleep,NULL
1031,Mm,medical,sleep,NULL
1032,V,medical,sleep,NULL
1033,Xcxxxx,medical,sleep,NULL
1034,Bvbvbvb,medical,sleep,NULL
1035,Ffgggggg,medical,sleep,NULL
1036,Bvcbcvbcvbcv,medical,sleep,NULL
1037,Cvbcvbcv,medical,sleep,NULL
1038,Vbcncvbnc,medical,sleep,NULL
1039,Vcx,medical,sleep,NULL
1040,Xc,medical,sleep,NULL
1041,Xcvvcx,medical,sleep,NULL
1042,NULL,medical,sleep,NULL
1043,Bvb,medical,sleep,NULL
1044,Nnn,medical,sleep,NULL
1045,NULL,medical,sleep,NULL
1046,Testing menstrual,SDOH,wellness,NULL
1047,Restless sleep,SDOH,wellness,NULL
1048,Heavy lifting,SDOH,wellness,NULL
1049,Eyelids become extremely heavy when i try to drive for more than 5 minutes,medical,physical,NULL
1050,"Something with my vision, but not sure whether it's blurred, or double, or moving, or what",medical,vision,NULL
1051,Elevated temperature,medical,physical,NULL
1052,Elevated temperature,medical,physical,NULL
1053,Vczxv,medical,emotional,NULL
1054,Vczxv,medical,emotional,NULL
1055,Wake up 4am for decades,medical,sleep,NULL
1056,Wake up 4am for decades,medical,sleep,NULL
1057,Mean people,SDOH,other,NULL
1058,Conversations on media they seem to go at a ray,SDOH,screen time,NULL
1059,Relationship,SDOH,environmental,NULL
1060,Put horse down,SDOH,wellness,NULL
1061,Pms,SDOH,wellness,NULL
1062,Difficult clients,SDOH,environmental,NULL
1063,Alcohol,SDOH,wellness,NULL
1064,Concert,SDOH,environmental,NULL
1065,Leg twitching,medical,sleep,NULL
1067,Body temperature is elevated: 99+ instead of 97+,medical,physical,NULL
1068,Pressure in head,medical,physical,NULL
1069,Sensation in ears sort of like being under water,medical,physical,NULL
1070,Eyelids get extremely heavy when i drive or when i have over-taxed myself,medical,vision,NULL
1071,Body temperature is elevated: 99+ instead of 97+,medical,physical,NULL
1072,Pressure in head,medical,physical,NULL
1073,Sensation in ears sort of like being under water,medical,physical,NULL
1074,Eyelids get extremely heavy when i drive or when i have over-taxed myself,medical,vision,NULL
1075,Walking any distance,SDOH,other,NULL
1076,"Language difficulty/can't think of words",SDOH,other,NULL
1077,Community design,SDOH,other,NULL
1078,Community design,SDOH,other,NULL
1079,"Going from one line to the next, i might read the same line again or do something wrong with placement.",medical,vision,NULL
1080,"Going from one line to the next, i might read the same line again or do something wrong with placement.",medical,vision,NULL
994,Allergies,SDOH,environmental,true
1182,Burning in arms and legs,medical,physical,NULL
1066,Bike,SDOH,travel,false
1183,Stomach pain,medical,physical,NULL
1081,"Body temperature taken first thing in the morning routinely at 99+ (even 100 or 101) and seemed to rise when i was symptomatic.  prior to the concussion, my normal body temperature was typically around 97+",medical,physical,NULL
1082,"Eyelids start to feel extremely heavy when i drive, to the extent that i limit my driving to about 10-15 min max",medical,vision,NULL
1083,Also started to get heavy eyelids when i get taxed by activities (not sure yet whether mostly related to cognitive or physical tiredness -- or emotional tiredness?),medical,vision,NULL
1084,Hosting a guest,SDOH,environmental,NULL
1085,Face and place blindness,medical,cognitive,NULL
1086,"Folks who are chatty, loud, controlling, bossy and insensitive to others situation",SDOH,other,NULL
1087,"Fatigue, sleep problems",SDOH,wellness,NULL
1088,"Folks who are chatty, loud, controlling, bossy and insensitive to others situation",SDOH,other,NULL
1089,I just want to fight with people,medical,emotional,NULL
1090,"Didn't eat well",SDOH,other,NULL
1092,Social activity,SDOH,wellness,NULL
1091,Social activity,SDOH,wellness,NULL
1093,Construction,SDOH,environmental,NULL
1094,Loud noise,SDOH,other,NULL
1095,Anger,SDOH,other,NULL
1096,Loud noise,SDOH,other,NULL
1097,Anger,SDOH,other,NULL
1098,"Leg /hand paralysis,",medical,cognitive,NULL
1099,Brain drain,medical,cognitive,NULL
1100,"Bp hike,xtra high energy, over limit ingredients",SDOH,other,NULL
1101,Aphantasia,medical,cognitive,NULL
1102,Aphantasia,medical,cognitive,NULL
1103,Long focus on topic,SDOH,other,NULL
1105,Cognitive overload - low cognitive reserve,SDOH,other,NULL
1104,Long screen time,SDOH,other,NULL
1106,Long focus on topic,SDOH,other,NULL
1107,Long screen time,SDOH,other,NULL
1108,Cognitive overload - low cognitive reserve,SDOH,other,NULL
1109,Friends,SDOH,environmental,NULL
860,Poor air quality,SDOH,environmental,true
463,Busy Surroundings,SDOH,environmental,true
781,Overstimulated,SDOH,environmental,true
1110,Altitude,SDOH,environmental,true
1111,Reading,SDOH,screen time,true
1112,NULL,NULL,NULL,NULL
1113,Video Calling,SDOH,screen time,true
1114,Online Education,SDOH,screen time,true
1115,School Work/Paper work,SDOH,screen time,true
872,Bike,SDOH,travel,true
36,Metro/Subway,SDOH,travel,true
37,Cab/Uber/Lyft,SDOH,travel,true
1116,Walking,SDOH,travel,true
1118,Family Members,SDOH,situational,true
1120,Kids,SDOH,situational,true
1121,Work Meeting/Presentation,SDOH,situational,true
1122,Grand Kids,SDOH,situational,true
1123,Friends,SDOH,situational,true
1124,Practicing/Listening to Music,SDOH,situational,true
1126,Doing tasks,SDOH,situational,true
1127,Planning/Organizing,SDOH,situational,true
1128,Arguments,SDOH,situational,true
1129,Therapy/Medical Appointment,SDOH,situational,true
1130,Finances,SDOH,situational,true
1131,Medication,SDOH,wellness,true
1132,Hydration,SDOH,wellness,true
1133,Relaxation/Rest,SDOH,wellness,true
1134,Anxious,SDOH,wellness,true
1135,Sick,SDOH,wellness,true
1136,Muscle Pain,SDOH,wellness,true
1137,Loss of appetite,SDOH,Dietary,true
1139,Lack of access to food,SDOH,Dietary,true
1140,Hunger,SDOH,Dietary,true
1142,Increased weight,SDOH,Dietary,true
1143,Decreased weight,SDOH,Dietary,true
1145,Overeating,SDOH,Dietary,true
1146,Sugar,SDOH,Dietary,true
1147,Food allergy,SDOH,Dietary,true
1148,Gluten,SDOH,Dietary,true
1138,Undereating,SDOH,Dietary,true
1141,Food poisoning,SDOH,Dietary,true
1144,Increased appetite,SDOH,Dietary,true
1149,Telemed psych,SDOH,screen time,NULL
1150,Gas costs,SDOH,travel,NULL
427,Traffic,SDOH,travel,true
1117,Inability to drive,SDOH,travel,true
462,Wind,SDOH,environmental,true
1125,Co-workers,SDOH,situational,true
1151,Heat sensitivity,SDOH,wellness,NULL
1152,Swimming,SDOH,travel,NULL
1153,Lost credit card panic fixing,SDOH,screen time,NULL
1154,Humidity hot weather,SDOH,travel,NULL
1155,Irregular sleep pattern,medical,sleep,NULL
1156,"Ear, nose and throat congestion - allergies",SDOH,wellness,NULL
1157,Standing for long periods,SDOH,travel,NULL
1158,Pressure in head/ears,medical,physical,NULL
1159,Body temperature running high,medical,physical,NULL
1160,"Left side of neck, and travels up left side of head into top of head",medical,vision,NULL
1161,Extremely heavy eyelids,medical,vision,NULL
1162,Body temperature running high,medical,physical,NULL
1163,Pressure in head/ears,medical,physical,NULL
1164,"Left side of neck, and travels up left side of head into top of head",medical,vision,NULL
1165,Extremely heavy eyelids,medical,vision,NULL
1166,Forgot to make medication,SDOH,wellness,NULL
1167,Forgot to make medication,SDOH,wellness,NULL
1168,Fairs noise,SDOH,wellness,NULL
1169,Quick movements,SDOH,other,NULL
1170,Noise and light sensitivity,SDOH,wellness,NULL
1171,Quick movements,SDOH,other,NULL
1172,Chicken,SDOH,other,NULL
1173,Too light and good dark cause squinting/eye strain,SDOH,other,NULL
81,Tremors in hands,medical,physical,true
1174,Dental appointment,SDOH,environmental,NULL
1175,Feeling sick,SDOH,environmental,NULL
1176,PTSD ,medical,emotional,NULL
1177,Work -homeless,SDOH,screen time,NULL
1178,Flicker,SDOH,other,NULL
1179,Flicker,SDOH,other,NULL
1180,Walking on sand,SDOH,travel,NULL
1181,Hyper tension,medical,emotional,NULL
1184,Hyper tension,medical,emotional,NULL
1186,Stomach pain,medical,physical,NULL
1185,Burning in arms and legs,medical,physical,NULL
1187,Cognitive overload,SDOH,other,NULL
1188,Driving for more than 45 minutes,SDOH,other,NULL
1189,Following multiple conversations,SDOH,other,NULL
1190,Cognitive overload,SDOH,other,NULL
1191,Driving for more than 45 minutes,SDOH,other,NULL
1192,Following multiple conversations,SDOH,other,NULL
1193,Action movies,SDOH,screen time,NULL
1194,Work dilemma,SDOH,wellness,NULL
1195,Fighting w family,SDOH,screen time,NULL
1196,These are the only ones that i have tried since the accident - i am sure the others would cause lots of symptoms and probably one of the reasons why i haven’t tried them,SDOH,travel,NULL
1197,Have gained weight by lack of mobility,SDOH,Dietary,NULL
1198,These are the only ones that i have tried since the accident - i am sure the others would cause lots of symptoms and probably one of the reasons why i haven’t tried them,SDOH,travel,NULL
1199,Have gained weight by lack of mobility,SDOH,Dietary,NULL
1200,Food knowledge,SDOH,Dietary,NULL
1201,Words move around or have dark lines under them,SDOH,screen time,NULL
1202,Driving sometimes gets overwhelming,SDOH,travel,NULL
1203,Need of food,SDOH,wellness,NULL
1204,Arizona,medical,sleep,NULL
1205,Ontario,medical,emotional,NULL
1206,Michigan,medical,cognitive,NULL
1207,Colorado,SDOH,travel,NULL
1208,Pittsburg,SDOH,screen time,NULL
1209,Fenton,SDOH,other,NULL
1210,New york,SDOH,wellness,NULL
1211,New york,SDOH,wellness,NULL
1212,Toronto,SDOH,wellness,NULL
1213,Florida,SDOH,environmental,NULL
1214,Sister fights,SDOH,situational,NULL
1215,Visitors,SDOH,environmental,NULL
1216,Written language issues,medical,cognitive,NULL
1217,Up and down too much,SDOH,wellness,NULL
1218,123,medical,vision,NULL
1219,Too much movement/ daily chores,SDOH,wellness,NULL
1220,Packing,SDOH,travel,NULL
1221,Finding a trustworthy kitty,SDOH,travel,NULL
1222,Sitter,SDOH,travel,NULL
1223,Getting stuck,SDOH,screen time,NULL
1224,On other subjects,SDOH,screen time,NULL
1225,Neck and finger (carpal tunnel pain,SDOH,screen time,NULL
1226,My filthy house,SDOH,environmental,NULL
1227,Harassment from the hoa,SDOH,environmental,NULL
